uid,Nudge,Lever,Ramp,Pendulum,Springboard,Down Hill,Lead the Ball,Chocolate Factory,Around the Tree,Big Watermill,Sunny Day,Wavy,On the Upswing,Shark,One at a time,Scale,Cloudy Day,Crazy Seesaw,Roller coaster,Uphill Battle,Little Mermaid,Ultimate Pinball,Yippie!,Diving Board,Stiff Curtains,Diving Board World,Need Fulcrum,Timing is Everything,Perfect Toss,Up in the Air,Spider Web,Can Opener,quit,silver,gold
A0639,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,gold,gold,gold,gold,gold,silver,gold,silver,silver,NA,NA,NA,NA,NA,gold,quit,NA,quit,silver,silver,NA,silver,3,11,11
A0459,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,quit,NA,NA,quit,gold,gold,NA,gold,quit,NA,NA,NA,NA,silver,gold,quit,quit,quit,NA,NA,NA,NA,7,6,8
F1449,silver,silver,silver,silver,silver,gold,gold,gold,gold,silver,silver,gold,gold,silver,gold,gold,gold,silver,NA,NA,silver,NA,NA,NA,silver,silver,silver,NA,NA,NA,NA,NA,0,13,9
A1315,silver,silver,silver,silver,silver,gold,gold,gold,NA,quit,quit,NA,NA,NA,NA,NA,NA,quit,quit,NA,NA,NA,NA,NA,NA,quit,NA,NA,NA,NA,NA,quit,6,5,3
E2956,silver,silver,silver,silver,silver,gold,gold,gold,NA,NA,quit,silver,gold,NA,quit,gold,quit,gold,quit,silver,quit,quit,silver,quit,quit,NA,NA,quit,quit,quit,silver,quit,12,9,6
D3025,silver,silver,silver,silver,silver,silver,gold,silver,gold,NA,silver,gold,gold,NA,NA,gold,NA,quit,NA,NA,quit,gold,gold,NA,silver,NA,NA,NA,NA,NA,silver,NA,2,10,7
F2923,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,silver,silver,gold,gold,gold,silver,gold,gold,NA,NA,NA,NA,NA,NA,silver,quit,gold,gold,gold,quit,NA,silver,2,10,13
F1450,silver,silver,silver,silver,silver,gold,gold,gold,silver,NA,NA,NA,NA,silver,gold,silver,NA,gold,NA,NA,NA,NA,NA,NA,NA,silver,silver,silver,NA,NA,NA,NA,0,11,5
E0392,silver,silver,silver,silver,silver,silver,gold,silver,quit,quit,gold,quit,gold,NA,gold,gold,silver,quit,NA,quit,quit,quit,gold,quit,NA,quit,gold,quit,NA,gold,silver,NA,10,9,8
C1326,silver,silver,silver,silver,silver,gold,gold,gold,gold,NA,NA,NA,NA,quit,gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5
F2721,silver,silver,silver,silver,silver,gold,gold,gold,gold,silver,gold,gold,silver,gold,gold,gold,gold,silver,NA,quit,silver,quit,quit,silver,silver,silver,gold,gold,silver,silver,NA,gold,3,14,13
